[11-Dec-2014 10:59:19 America/Mexico_City] PHP Warning:  Wrong parameter count for printer_list() in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 31
[11-Dec-2014 11:04:55 America/Mexico_City] PHP Notice:  Array to string conversion in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 32
[11-Dec-2014 11:04:56 America/Mexico_City] PHP Notice:  Array to string conversion in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 32
[11-Dec-2014 11:04:58 America/Mexico_City] PHP Notice:  Array to string conversion in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 32
[11-Dec-2014 11:05:03 America/Mexico_City] PHP Notice:  Array to string conversion in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 32
[11-Dec-2014 11:05:06 America/Mexico_City] PHP Notice:  Array to string conversion in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 32
[11-Dec-2014 11:05:28 America/Mexico_City] PHP Notice:  Array to string conversion in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 32
[11-Dec-2014 11:09:27 America/Mexico_City] PHP Notice:  Trying to get property of non-object in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 33
[11-Dec-2014 11:09:29 America/Mexico_City] PHP Notice:  Trying to get property of non-object in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 33
[11-Dec-2014 11:09:30 America/Mexico_City] PHP Notice:  Trying to get property of non-object in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 33
[11-Dec-2014 11:11:31 America/Mexico_City] PHP Fatal error:  Out of memory (allocated 262144) (tried to allocate 4294967295 bytes) in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 35
[11-Dec-2014 11:11:40 America/Mexico_City] PHP Fatal error:  Out of memory (allocated 262144) (tried to allocate 4294967295 bytes) in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 35
[11-Dec-2014 11:17:33 America/Mexico_City] PHP Warning:  printer_open(): couldn't connect to the printer [,,,] in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 35
[11-Dec-2014 11:31:22 America/Mexico_City] PHP Parse error:  syntax error, unexpected '.96' (T_DNUMBER) in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 35
[11-Dec-2014 11:47:30 America/Mexico_City] PHP Parse error:  syntax error, unexpected '.96' (T_DNUMBER) in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 35
[11-Dec-2014 11:47:43 America/Mexico_City] PHP Warning:  printer_open(): couldn't connect to the printer [\\192.168.96.139\EPSONTM-T20II] in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 35
[11-Dec-2014 11:56:37 America/Mexico_City] PHP Fatal error:  Out of memory (allocated 262144) (tried to allocate 4294967295 bytes) in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 35
[11-Dec-2014 12:14:05 America/Mexico_City] PHP Warning:  printer_write(): couldn't allocate the printerjob [3003] in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 41
[11-Dec-2014 12:14:48 America/Mexico_City] PHP Warning:  printer_write(): couldn't allocate the printerjob [3003] in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 41
[11-Dec-2014 12:15:57 America/Mexico_City] PHP Notice:  Undefined variable: r in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:16:23 America/Mexico_City] PHP Notice:  Undefined variable: r in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:16:35 America/Mexico_City] PHP Notice:  Undefined variable: r in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:16:53 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:09 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:13 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:31 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:32 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:32 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:33 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:33 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:33 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:33 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:33 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
[11-Dec-2014 12:17:33 America/Mexico_City] PHP Warning:  json_encode(): type is unsupported, encoded as null in C:\inetpub\wwwroot\HolaMundoWs\LeeWs\DesarrolloPrenotas\scan_products\php\prueba.php on line 37
